transaction_id,user_id,timestamp,payment_method,amount,status,city,merchant_category,device_type
T000001,U0103,9/25/2024 12:36,UPI,318.58,Success,Hyderabad,Entertainment,Android
T000002,U0131,9/3/2024 12:54,UPI,501.95,Success,Mumbai,Healthcare,Android
T000003,U0345,4/17/2024 16:54,Wallet,71,Success,Pune,Fuel,Android
T000004,U0244,11/17/2024 23:26,UPI,3291.83,Success,Pune,Grocery,Android
T000005,U0346,7/13/2024 23:16,UPI,357.47,Success,Chennai,Entertainment,Android
T000006,U0388,12/15/2024 3:26,UPI,305.47,Success,Mumbai,Entertainment,Android
T000007,U0304,11/5/2024 14:37,UPI,70.35,Success,Hyderabad,Transport,Android
T000008,U0252,9/29/2024 0:03,Wallet,686.38,Success,Bangalore,Transport,Android
T000009,U0139,6/24/2024 11:20,Card,397.07,Success,Kolkata,Utilities,Android
T000010,U0418,3/23/2024 12:35,UPI,2324.02,Success,Chennai,Fuel,Android
T000011,U0462,9/13/2024 16:40,Card,396.94,Success,Mumbai,Fuel,Android
T000012,U0231,11/25/2024 2:14,UPI,1123.23,Success,Bangalore,Education,Android
T000013,U0086,9/28/2024 19:23,NetBanking,335.03,Success,Pune,Education,iOS
T000014,U0231,1/29/2024 18:06,UPI,242.2,Success,Ahmedabad,Utilities,Android
T000015,U0225,5/13/2024 2:49,UPI,125.73,Success,Pune,Food,Android
T000016,U0268,3/29/2024 14:21,Card,8869.18,Success,Bangalore,Healthcare,Android
T000017,U0224,4/10/2024 5:02,Wallet,288.92,Success,Kolkata,Transport,Android
T000018,U0255,11/7/2024 10:08,UPI,1839.44,Success,Bangalore,Healthcare,iOS
T000019,U0259,9/3/2024 8:04,UPI,370.02,Success,Chennai,Food,Android
T000020,U0039,12/16/2024 2:00,Card,1022.68,Success,Kolkata,Utilities,Android
T000021,U0369,7/21/2024 3:09,UPI,455.19,Failed,Ahmedabad,Fuel,iOS
T000022,U0054,11/16/2024 0:53,NetBanking,471.04,Success,Ahmedabad,Utilities,iOS
T000023,U0349,5/12/2024 18:36,UPI,2129.9,Success,Chennai,Shopping,Android
